,Date,Price
1,1996-05-01,142700.0
2,1996-06-01,141800.0
3,1996-07-01,140900.0
4,1996-08-01,140100.0
5,1996-09-01,139400.0
6,1996-10-01,138800.0
7,1996-11-01,138300.0
8,1996-12-01,138000.0
9,1997-01-01,137900.0
10,1997-02-01,137700.0
11,1997-03-01,137500.0
12,1997-04-01,137200.0
13,1997-05-01,136900.0
14,1997-06-01,136600.0
15,1997-07-01,136300.0
16,1997-08-01,136000.0
17,1997-09-01,135800.0
18,1997-10-01,135700.0
19,1997-11-01,136000.0
20,1997-12-01,136500.0
21,1998-01-01,137200.0
22,1998-02-01,137900.0
23,1998-03-01,138600.0
24,1998-04-01,139200.0
25,1998-05-01,139700.0
26,1998-06-01,140100.0
27,1998-07-01,140300.0
28,1998-08-01,140200.0
29,1998-09-01,140000.0
30,1998-10-01,139800.0
31,1998-11-01,139600.0
32,1998-12-01,139400.0
33,1999-01-01,139200.0
34,1999-02-01,139200.0
35,1999-03-01,139100.0
36,1999-04-01,139100.0
37,1999-05-01,139300.0
38,1999-06-01,139600.0
39,1999-07-01,140000.0
40,1999-08-01,140600.0
41,1999-09-01,141300.0
42,1999-10-01,142100.0
43,1999-11-01,142900.0
44,1999-12-01,143700.0
45,2000-01-01,144400.0
46,2000-02-01,144800.0
47,2000-03-01,144900.0
48,2000-04-01,144800.0
49,2000-05-01,144700.0
50,2000-06-01,144600.0
51,2000-07-01,144500.0
52,2000-08-01,144600.0
53,2000-09-01,144900.0
54,2000-10-01,145500.0
55,2000-11-01,146300.0
56,2000-12-01,147300.0
57,2001-01-01,148300.0
58,2001-02-01,149400.0
59,2001-03-01,150400.0
60,2001-04-01,151300.0
61,2001-05-01,152200.0
62,2001-06-01,152900.0
63,2001-07-01,153500.0
64,2001-08-01,154000.0
65,2001-09-01,154600.0
66,2001-10-01,155300.0
67,2001-11-01,156100.0
68,2001-12-01,157100.0
69,2002-01-01,158300.0
70,2002-02-01,159500.0
71,2002-03-01,160700.0
72,2002-04-01,162000.0
73,2002-05-01,163400.0
74,2002-06-01,164900.0
75,2002-07-01,166600.0
76,2002-08-01,168600.0
77,2002-09-01,170800.0
78,2002-10-01,173300.0
79,2002-11-01,176100.0
80,2002-12-01,179100.0
81,2003-01-01,182000.0
82,2003-02-01,184400.0
83,2003-03-01,186800.0
84,2003-04-01,189100.0
85,2003-05-01,191500.0
86,2003-06-01,194100.0
87,2003-07-01,197100.0
88,2003-08-01,200300.0
89,2003-09-01,203600.0
90,2003-10-01,206900.0
91,2003-11-01,210400.0
92,2003-12-01,214200.0
93,2004-01-01,218400.0
94,2004-02-01,223000.0
95,2004-03-01,228100.0
96,2004-04-01,233900.0
97,2004-05-01,240100.0
98,2004-06-01,246900.0
99,2004-07-01,254300.0
100,2004-08-01,262000.0
101,2004-09-01,270000.0
102,2004-10-01,277800.0
103,2004-11-01,285000.0
104,2004-12-01,292000.0
105,2005-01-01,299100.0
106,2005-02-01,306800.0
107,2005-03-01,315600.0
108,2005-04-01,325400.0
109,2005-05-01,335700.0
110,2005-06-01,345800.0
111,2005-07-01,355100.0
112,2005-08-01,362700.0
113,2005-09-01,369100.0
114,2005-10-01,374200.0
115,2005-11-01,378100.0
116,2005-12-01,380800.0
117,2006-01-01,382800.0
118,2006-02-01,384800.0
119,2006-03-01,386800.0
120,2006-04-01,388600.0
121,2006-05-01,389700.0
122,2006-06-01,389800.0
123,2006-07-01,388400.0
124,2006-08-01,385600.0
125,2006-09-01,382100.0
126,2006-10-01,378300.0
127,2006-11-01,374400.0
128,2006-12-01,370400.0
129,2007-01-01,366300.0
130,2007-02-01,361600.0
131,2007-03-01,356200.0
132,2007-04-01,350300.0
133,2007-05-01,344000.0
134,2007-06-01,337000.0
135,2007-07-01,329000.0
136,2007-08-01,320600.0
137,2007-09-01,312700.0
138,2007-10-01,305600.0
139,2007-11-01,299000.0
140,2007-12-01,292600.0
141,2008-01-01,286200.0
142,2008-02-01,279400.0
143,2008-03-01,272200.0
144,2008-04-01,265000.0
145,2008-05-01,258400.0
146,2008-06-01,252300.0
147,2008-07-01,246800.0
