,Date,Price
0,2018-03-01,66.02
1,2018-02-01,65.32
2,2018-01-01,69.08
3,2017-12-01,64.37
4,2017-11-01,62.71
5,2017-10-01,57.51
6,2017-09-01,56.15
7,2017-08-01,51.7
8,2017-07-01,48.48
9,2017-06-01,46.37
10,2017-05-01,50.33
11,2017-04-01,52.31
12,2017-03-01,51.59
13,2017-02-01,54.87
14,2017-01-01,54.58
15,2016-12-01,53.31
16,2016-11-01,44.73
17,2016-10-01,49.52
18,2016-09-01,46.57
19,2016-08-01,45.84
20,2016-07-01,44.95
21,2016-06-01,48.25
22,2016-05-01,46.74
23,2016-04-01,41.58
24,2016-03-01,38.21
25,2016-02-01,32.18
26,2016-01-01,30.7
27,2015-12-01,38.01
28,2015-11-01,44.27
29,2015-10-01,48.43
30,2015-09-01,47.62
31,2015-08-01,46.52
32,2015-07-01,56.56
33,2015-06-01,61.48
34,2015-05-01,64.08
35,2015-04-01,59.52
36,2015-03-01,55.89
37,2015-02-01,58.1
38,2015-01-01,47.76
39,2014-12-01,62.34
40,2014-11-01,79.44
41,2014-10-01,87.43
42,2014-09-01,97.09
43,2014-08-01,101.61
44,2014-07-01,106.77
45,2014-06-01,111.8
46,2014-05-01,109.54
47,2014-04-01,107.76
48,2014-03-01,107.48
49,2014-02-01,108.9
50,2014-01-01,108.12
51,2013-12-01,110.76
52,2013-11-01,107.79
53,2013-10-01,109.08
54,2013-09-01,111.6
55,2013-08-01,111.28
56,2013-07-01,107.93
57,2013-06-01,102.92
58,2013-05-01,102.56
59,2013-04-01,102.25
60,2013-03-01,108.47
61,2013-02-01,116.05
62,2013-01-01,112.96
63,2012-12-01,109.49
64,2012-11-01,109.06
65,2012-10-01,111.71
66,2012-09-01,112.86
67,2012-08-01,113.36
68,2012-07-01,102.62
69,2012-06-01,95.16
70,2012-05-01,110.34
71,2012-04-01,119.75
72,2012-03-01,125.45
73,2012-02-01,119.33
74,2012-01-01,110.69
75,2011-12-01,107.87
76,2011-11-01,110.77
77,2011-10-01,109.55
78,2011-09-01,112.83
79,2011-08-01,110.22
80,2011-07-01,116.97
81,2011-06-01,113.83
82,2011-05-01,114.99
83,2011-04-01,123.26
84,2011-03-01,114.64
85,2011-02-01,103.72
86,2011-01-01,96.52
87,2010-12-01,91.45
88,2010-11-01,85.28
89,2010-10-01,82.67
90,2010-09-01,77.84
91,2010-08-01,77.04
92,2010-07-01,75.58
93,2010-06-01,74.76
94,2010-05-01,75.95
95,2010-04-01,84.82
96,2010-03-01,78.83
97,2010-02-01,73.75
98,2010-01-01,76.17
99,2009-12-01,74.46
100,2009-11-01,76.66
101,2009-10-01,72.77
102,2009-09-01,67.65
103,2009-08-01,72.51
104,2009-07-01,64.44
105,2009-06-01,68.61
106,2009-05-01,57.3
107,2009-04-01,50.18
108,2009-03-01,46.54
109,2009-02-01,43.32
110,2009-01-01,43.44
111,2008-12-01,39.95
112,2008-11-01,52.45
113,2008-10-01,71.58
114,2008-09-01,97.23
115,2008-08-01,113.24
116,2008-07-01,132.72
117,2008-06-01,132.32
118,2008-05-01,122.8
119,2008-04-01,109.07
120,2008-03-01,103.64
121,2008-02-01,94.99
122,2008-01-01,92.18
123,2007-12-01,90.93
124,2007-11-01,92.41
125,2007-10-01,82.34
126,2007-09-01,77.17
127,2007-08-01,70.76
128,2007-07-01,76.93
129,2007-06-01,71.05
130,2007-05-01,67.21
131,2007-04-01,67.49
132,2007-03-01,62.05
133,2007-02-01,57.56
134,2007-01-01,53.68
135,2006-12-01,62.47
136,2006-11-01,58.76
137,2006-10-01,57.81
138,2006-09-01,61.96
139,2006-08-01,73.23
140,2006-07-01,73.67
141,2006-06-01,68.56
142,2006-05-01,69.78
143,2006-04-01,70.26
144,2006-03-01,62.06
145,2006-02-01,60.21
146,2006-01-01,62.99
147,2005-12-01,56.86
148,2005-11-01,55.24
149,2005-10-01,58.54
150,2005-09-01,62.91
151,2005-08-01,63.98
152,2005-07-01,57.52
153,2005-06-01,54.35
154,2005-05-01,48.65
155,2005-04-01,51.88
156,2005-03-01,53.1
157,2005-02-01,45.48
158,2005-01-01,44.51
159,2004-12-01,39.6
160,2004-11-01,43.11
161,2004-10-01,49.78
162,2004-09-01,43.2
163,2004-08-01,42.74
164,2004-07-01,38.22
165,2004-06-01,35.18
166,2004-05-01,37.57
167,2004-04-01,33.59
168,2004-03-01,33.63
169,2004-02-01,30.86
170,2004-01-01,31.28
171,2003-12-01,29.81
172,2003-11-01,28.75
173,2003-10-01,29.61
174,2003-09-01,27.11
175,2003-08-01,29.89
176,2003-07-01,28.35
177,2003-06-01,27.65
178,2003-05-01,25.86
179,2003-04-01,25.0
180,2003-03-01,30.61
181,2003-02-01,32.77
182,2003-01-01,31.18
183,2002-12-01,28.33
184,2002-11-01,24.34
185,2002-10-01,27.54
186,2002-09-01,28.4
187,2002-08-01,26.65
188,2002-07-01,25.74
189,2002-06-01,24.08
190,2002-05-01,25.35
191,2002-04-01,25.73
192,2002-03-01,23.7
193,2002-02-01,20.28
194,2002-01-01,19.42
195,2001-12-01,18.71
196,2001-11-01,18.8
197,2001-10-01,20.54
198,2001-09-01,25.62
199,2001-08-01,25.68
200,2001-07-01,24.61
201,2001-06-01,27.85
202,2001-05-01,28.31
203,2001-04-01,25.66
204,2001-03-01,24.5
205,2001-02-01,27.5
206,2001-01-01,25.62
207,2000-12-01,25.66
208,2000-11-01,32.55
209,2000-10-01,30.96
210,2000-09-01,33.14
211,2000-08-01,30.2
212,2000-07-01,28.68
213,2000-06-01,29.8
214,2000-05-01,27.74
215,2000-04-01,22.76
216,2000-03-01,27.49
217,2000-02-01,27.78
218,2000-01-01,25.51
219,1999-12-01,25.47
220,1999-11-01,24.58
221,1999-10-01,22.0
222,1999-09-01,22.54
223,1999-08-01,20.22
224,1999-07-01,19.08
225,1999-06-01,15.86
226,1999-05-01,15.23
227,1999-04-01,15.29
228,1999-03-01,12.51
229,1999-02-01,10.27
230,1999-01-01,11.11
231,1998-12-01,9.82
232,1998-11-01,11.04
233,1998-10-01,12.7
234,1998-09-01,13.34
235,1998-08-01,11.91
236,1998-07-01,12.08
237,1998-06-01,12.21
238,1998-05-01,14.36
239,1998-04-01,13.53
240,1998-03-01,13.1
241,1998-02-01,14.07
242,1998-01-01,15.19
243,1997-12-01,17.18
244,1997-11-01,19.17
245,1997-10-01,19.87
246,1997-09-01,18.46
247,1997-08-01,18.6
248,1997-07-01,18.46
249,1997-06-01,17.58
250,1997-05-01,19.02
251,1997-04-01,17.56
252,1997-03-01,19.13
253,1997-02-01,20.85
254,1997-01-01,23.54
255,1996-12-01,23.78
256,1996-11-01,22.76
257,1996-10-01,24.16
258,1996-09-01,22.63
259,1996-08-01,20.51
260,1996-07-01,19.57
261,1996-06-01,18.46
262,1996-05-01,19.15
263,1996-04-01,20.9
