,Date,Price
1,1996-05-01,210200.0
2,1996-06-01,211500.0
3,1996-07-01,212800.0
4,1996-08-01,214000.0
5,1996-09-01,215200.0
6,1996-10-01,216300.0
7,1996-11-01,217200.0
8,1996-12-01,218000.0
9,1997-01-01,218500.0
10,1997-02-01,218600.0
11,1997-03-01,218700.0
12,1997-04-01,219200.0
13,1997-05-01,220000.0
14,1997-06-01,221200.0
15,1997-07-01,222800.0
16,1997-08-01,224700.0
17,1997-09-01,227100.0
18,1997-10-01,229800.0
19,1997-11-01,232900.0
20,1997-12-01,236500.0
21,1998-01-01,240100.0
22,1998-02-01,243100.0
23,1998-03-01,245800.0
24,1998-04-01,248100.0
25,1998-05-01,250100.0
26,1998-06-01,251800.0
27,1998-07-01,253300.0
28,1998-08-01,254900.0
29,1998-09-01,256900.0
30,1998-10-01,259200.0
31,1998-11-01,262100.0
32,1998-12-01,265600.0
33,1999-01-01,269300.0
34,1999-02-01,273100.0
35,1999-03-01,277200.0
36,1999-04-01,281700.0
37,1999-05-01,286400.0
38,1999-06-01,290900.0
39,1999-07-01,294700.0
40,1999-08-01,297800.0
41,1999-09-01,299900.0
42,1999-10-01,301100.0
43,1999-11-01,301600.0
44,1999-12-01,301700.0
45,2000-01-01,301400.0
46,2000-02-01,300700.0
47,2000-03-01,300000.0
48,2000-04-01,299300.0
49,2000-05-01,298800.0
50,2000-06-01,298000.0
51,2000-07-01,296500.0
52,2000-08-01,294000.0
53,2000-09-01,290700.0
54,2000-10-01,286600.0
55,2000-11-01,281900.0
56,2000-12-01,276700.0
57,2001-01-01,271300.0
58,2001-02-01,265900.0
59,2001-03-01,260800.0
60,2001-04-01,256400.0
61,2001-05-01,253100.0
62,2001-06-01,250700.0
63,2001-07-01,248900.0
64,2001-08-01,247800.0
65,2001-09-01,247200.0
66,2001-10-01,247000.0
67,2001-11-01,247000.0
68,2001-12-01,247200.0
69,2002-01-01,247300.0
70,2002-02-01,247400.0
71,2002-03-01,247700.0
72,2002-04-01,248600.0
73,2002-05-01,250100.0
74,2002-06-01,251900.0
75,2002-07-01,253900.0
76,2002-08-01,255600.0
77,2002-09-01,257100.0
78,2002-10-01,258500.0
79,2002-11-01,258900.0
80,2002-12-01,259000.0
81,2003-01-01,260100.0
82,2003-02-01,262600.0
83,2003-03-01,265400.0
84,2003-04-01,268300.0
85,2003-05-01,270900.0
86,2003-06-01,273200.0
87,2003-07-01,275300.0
88,2003-08-01,277200.0
89,2003-09-01,278900.0
90,2003-10-01,280300.0
91,2003-11-01,281500.0
92,2003-12-01,282400.0
93,2004-01-01,282700.0
94,2004-02-01,282400.0
95,2004-03-01,282200.0
96,2004-04-01,282700.0
97,2004-05-01,284100.0
98,2004-06-01,286400.0
99,2004-07-01,289100.0
100,2004-08-01,291800.0
101,2004-09-01,294400.0
102,2004-10-01,297000.0
103,2004-11-01,299800.0
104,2004-12-01,303300.0
105,2005-01-01,307600.0
106,2005-02-01,312500.0
107,2005-03-01,317300.0
108,2005-04-01,319800.0
109,2005-05-01,318900.0
110,2005-06-01,315500.0
111,2005-07-01,311400.0
112,2005-08-01,307200.0
113,2005-09-01,303400.0
114,2005-10-01,300100.0
115,2005-11-01,297100.0
116,2005-12-01,294100.0
117,2006-01-01,291100.0
118,2006-02-01,288500.0
119,2006-03-01,287000.0
120,2006-04-01,286600.0
121,2006-05-01,287200.0
122,2006-06-01,288200.0
123,2006-07-01,289300.0
124,2006-08-01,290500.0
125,2006-09-01,292300.0
126,2006-10-01,295400.0
127,2006-11-01,300200.0
128,2006-12-01,306900.0
129,2007-01-01,313200.0
130,2007-02-01,317300.0
131,2007-03-01,319100.0
132,2007-04-01,319200.0
133,2007-05-01,317400.0
134,2007-06-01,315400.0
135,2007-07-01,314300.0
136,2007-08-01,314400.0
137,2007-09-01,315200.0
138,2007-10-01,316400.0
139,2007-11-01,317600.0
140,2007-12-01,318500.0
141,2008-01-01,318200.0
142,2008-02-01,317000.0
143,2008-03-01,316600.0
144,2008-04-01,316900.0
145,2008-05-01,316300.0
146,2008-06-01,315800.0
147,2008-07-01,317400.0
